NUM_CLIENTS,NUM_ROUNDS,BATCH_SIZE,NOISE_MULTIPLIER,EVAL_RATIO,ACCURACY
2,5,64,2.5,0.75,0.0962
2,5,64,2.5,0.75,0.0972
2,5,64,2.5,0.75,0.0918
2,5,64,2.5,0.9,0.1042
2,5,64,2.5,0.9,0.099
2,5,64,2.5,0.9,0.1066
2,5,64,2.5,0.9,0.0994
2,5,64,2.5,0.9,0.095
2,5,64,2.5,1,0.0914
2,5,64,2.5,1,0.0902
2,5,64,2.5,1,0.122
2,5,64,2.5,1,0.13269999999999998
2,5,64,2.5,1,0.1217
2,5,64,4,0.1,0.094
2,5,64,4,0.1,0.0986
2,5,64,4,0.1,0.09
2,5,64,4,0.1,0.0944
2,5,64,4,0.1,0.0984
2,5,64,4,0.3,0.0906
2,5,64,4,0.3,0.0906
2,5,64,4,0.3,0.0906
2,5,64,4,0.3,0.114
2,5,64,4,0.3,0.1086
2,5,64,4,0.75,0.1122
2,5,64,4,0.75,0.11060000000000002
2,5,64,4,0.75,0.089
2,5,64,4,0.75,0.11060000000000002
2,5,64,4,0.75,0.0942
2,5,64,4,0.9,0.104
2,5,64,4,0.9,0.0988
2,5,64,4,0.9,0.1004
2,5,64,4,0.9,0.104
2,5,64,4,0.9,0.1054
2,5,64,4,1,0.093
2,5,64,4,1,0.0982
2,5,64,4,1,0.0967
2,5,64,4,1,0.0922
2,5,64,4,1,0.11249999999999999
2,5,128,0.1,0.1,0.1096
2,5,128,0.1,0.1,0.1216
2,5,128,0.1,0.1,0.126
2,5,128,0.1,0.1,0.131
2,5,128,0.1,0.1,0.11879999999999999
2,5,128,0.1,0.3,0.10400000000000001
2,5,128,0.1,0.3,0.10400000000000001
2,5,128,0.1,0.3,0.0932
2,5,128,0.1,0.3,0.10400000000000001
2,5,128,0.1,0.3,0.10400000000000001
2,5,128,0.1,0.75,0.1314
2,5,128,0.1,0.75,0.127
2,5,128,0.1,0.75,0.1404
2,5,128,0.1,0.75,0.153
2,5,128,0.1,0.75,0.1386
2,5,128,0.1,0.9,0.094
2,5,128,0.1,0.9,0.094
2,5,128,0.1,0.9,0.097
2,5,128,0.1,0.9,0.094
2,5,128,0.1,0.9,0.097
2,5,128,0.1,1,0.1217
2,5,128,0.1,1,0.11499999999999999
2,5,128,0.1,1,0.10910000000000002
2,5,128,0.1,1,0.1206
2,5,128,0.1,1,0.1356
2,5,128,0.4,0.1,0.1016
2,5,128,0.4,0.1,0.0922
2,5,128,0.4,0.1,0.092
2,5,128,0.4,0.1,0.0822
2,5,128,0.4,0.1,0.0892
2,5,128,0.4,0.3,0.096
2,5,128,0.4,0.3,0.0924
2,5,128,0.4,0.3,0.0906
2,5,128,0.4,0.3,0.0924
2,5,128,0.4,0.3,0.0958
2,5,128,0.4,0.75,0.1006
2,5,128,0.4,0.75,0.0932
2,5,128,0.4,0.75,0.134
2,5,128,0.4,0.75,0.1048
2,5,128,0.4,0.75,0.1048
2,5,128,0.4,0.9,0.1038
2,5,128,0.4,0.9,0.1062
2,5,128,0.4,0.9,0.1044
2,5,128,0.4,0.9,0.1026
2,5,128,0.4,0.9,0.10200000000000001
2,5,128,0.4,1,0.0994
2,5,128,0.4,1,0.099
2,5,128,0.4,1,0.0984
2,5,128,0.4,1,0.10350000000000001
2,5,128,0.4,1,0.10629999999999999
2,5,128,1.1,0.1,0.1192
2,5,128,1.1,0.1,0.0908
2,5,128,1.1,0.1,0.093
2,5,128,1.1,0.1,0.1042
2,5,128,1.1,0.3,0.1
2,5,128,1.1,0.3,0.1308
2,5,128,1.1,0.3,0.11100000000000002
2,5,128,1.1,0.3,0.1102
2,5,128,1.1,0.3,0.0902
2,5,128,1.1,0.75,0.10700000000000001
2,5,128,1.1,0.75,0.1032
2,5,128,1.1,0.75,0.1066
2,5,128,1.1,0.75,0.10700000000000001
2,5,128,1.1,0.75,0.10979999999999998
2,5,128,1.1,0.9,0.094
2,5,128,1.1,0.9,0.097
2,5,128,1.1,0.9,0.092
2,5,128,1.1,0.9,0.0964
2,5,128,1.1,0.9,0.11739999999999999
2,5,128,1.1,1,0.09590000000000001
2,5,128,1.1,1,0.09290000000000001
2,5,128,1.1,1,0.1
2,5,128,1.1,1,0.0991
2,5,128,1.1,1,0.0987
2,5,128,1.5,0.1,0.1086
2,5,128,1.5,0.1,0.089
2,5,128,1.5,0.1,0.0794
2,5,128,1.5,0.1,0.0858
2,5,128,1.5,0.1,0.0854
2,5,128,1.5,0.3,0.0824
2,5,128,1.5,0.3,0.1014
2,5,128,1.5,0.3,0.1056
2,5,128,1.5,0.3,0.0956
2,5,128,1.5,0.3,0.0928
2,5,128,1.5,0.75,0.10739999999999998
2,5,128,1.5,0.75,0.10640000000000001
2,5,128,1.5,0.75,0.0948
2,5,128,1.5,0.75,0.0942
2,5,128,1.5,0.75,0.0804
2,5,128,1.5,0.9,0.11679999999999999
2,5,128,1.5,0.9,0.0874
2,5,128,1.5,0.9,0.11379999999999998
2,5,128,1.5,0.9,0.10900000000000001
2,5,128,1.5,0.9,0.1036
2,5,128,1.5,1,0.07730000000000001
2,5,128,1.5,1,0.0958
2,5,128,1.5,1,0.10739999999999998
2,5,128,1.5,1,0.1115
2,5,128,1.5,1,0.09459999999999999
2,5,128,2.5,0.1,0.0864
